2023-10-09 22:20:56,427  =================== rf_bert01 start training ===================
2023-10-09 22:27:53,223  gridsearching...
2023-10-09 23:46:38,493  0.703 (+/-0.034) for {'max_depth': 12, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,493  0.709 (+/-0.022) for {'max_depth': 12, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,493  0.674 (+/-0.023) for {'max_depth': 12, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,493  0.690 (+/-0.034) for {'max_depth': 12, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,494  0.699 (+/-0.031) for {'max_depth': 12, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,494  0.670 (+/-0.026) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,494  0.687 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,494  0.689 (+/-0.028) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,494  0.673 (+/-0.023) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,494  0.686 (+/-0.029) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,494  0.693 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,494  0.668 (+/-0.038) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,494  0.690 (+/-0.026) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,494  0.688 (+/-0.035) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,494  0.661 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,495  0.686 (+/-0.022) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,495  0.691 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,495  0.670 (+/-0.019) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,495  0.685 (+/-0.035) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,495  0.693 (+/-0.025) for {'max_depth': 12, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,495  0.666 (+/-0.044) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,495  0.672 (+/-0.032) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,495  0.681 (+/-0.020) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,495  0.662 (+/-0.033) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,495  0.678 (+/-0.042) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,496  0.683 (+/-0.034) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,496  0.660 (+/-0.031) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,496  0.681 (+/-0.032) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,496  0.685 (+/-0.020) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,496  0.659 (+/-0.020) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,496  0.675 (+/-0.020) for {'max_depth': 12, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 100}
